Role ID,Role Name,Industry Demand Score,Availability,Average Salary,Growth Rate,Job Type,Remote Flexibility,Experience Level,Technology Trend Index,Educational Requirements,Industry Relevance,Company Size Demand,Automation Risk Score,Employee Retention Rate,Innovation Requirement,Skill Evolution Rate,Work Environment Compatibility,Global Mobility,Job Posting Frequency,Competitor Demand,Professional Network Activity,Python,SQL,Java,R,C++,Cluster,Role Relevance Score
1,Data Scientist,0.7334729479536557,-0.6405126152203484,0.29617443887954614,-0.9128709291752769,1,1,2,0.2827317271551937,8,0,0,30,0.2948839123097942,0,0.9128709291752769,0,0,-0.9045340337332908,-0.9539980920057239,0,0,0,0,0,0,2,52.75372899872464
2,Software Engineer,-0.2852394797597546,0.960768922830523,-0.29617443887954614,0.9128709291752769,1,1,1,-0.26893993558664736,2,0,0,50,-0.44232586846469146,2,-0.9128709291752769,0,0,2.110579412044345,-0.9539980920057239,0,0,0,0,0,0,4,50.012747073385334
3,Cybersecurity Analyst,1.039086676267679,0.16012815380508727,0.0,-0.9128709291752769,1,0,3,0.6964854742115749,7,3,1,20,1.03209369308428,2,0.9128709291752769,1,0,-0.9045340337332908,-0.9539980920057239,2,0,0,0,0,0,2,56.19585085297698
4,Machine Learning Engineer,1.446571647353043,-1.441153384245784,1.4808721943977308,1.8257418583505538,1,1,2,1.4550340104816069,9,0,0,40,-0.44232586846469146,0,-0.9128709291752769,0,0,-0.9045340337332908,-0.9539980920057239,2,0,0,0,0,0,0,100.0
5,Cloud Architect,0.22411673409695057,-0.6405126152203484,0.8885233166386385,-0.9128709291752769,0,1,3,0.5585675585261145,0,0,1,35,1.7693034738587656,2,0.9128709291752769,2,2,0.6030226891555273,-0.9539980920057239,2,0,0,0,0,0,2,55.672329493077086
6,DevOps Engineer,0.020374248554268497,0.16012815380508727,0.0,-0.9128709291752769,1,1,2,0.1448138114697339,4,0,2,45,0.2948839123097942,2,-0.9128709291752769,0,0,0.6030226891555273,1.165997668006996,0,0,0,0,0,0,1,43.422830195197406
7,Front-end Developer,-0.7945956936164598,0.960768922830523,-0.8885233166386385,0.9128709291752769,2,1,1,-0.682693682643028,1,2,0,60,-1.179535649239177,2,-0.9128709291752769,2,1,-0.9045340337332908,1.165997668006996,0,0,0,0,0,0,1,37.6864715016793
8,UX/UI Designer,-1.303951907473165,0.16012815380508727,-0.5923488777590923,0.9128709291752769,1,1,0,-0.8895705561712183,6,0,3,55,-1.179535649239177,0,-0.9128709291752769,2,2,-0.9045340337332908,1.165997668006996,2,0,0,0,0,0,1,34.26984379419764
9,IT Support Specialist,-1.81330812132987,1.7614096918559585,-2.073221072156823,0.0,1,0,1,-2.1997907551830913,5,1,0,70,1.03209369308428,1,0.0,1,1,0.6030226891555273,0.10599978800063596,2,0,0,0,0,0,3,0.0
10,Blockchain Developer,0.7334729479536557,-1.441153384245784,1.1846977555181846,-0.9128709291752769,0,1,2,0.9033623477397652,3,2,3,45,-1.179535649239177,3,1.8257418583505538,0,2,0.6030226891555273,1.165997668006996,1,0,0,0,0,0,2,65.028722443375
